,title,price,link
10,"HP Victus Special Edition, 12th Gen Intel Core i7-12650H, 4GB RTX 3050A GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 16GB DDR4, 1TB SSD, Backlit KB, 9ms response time (MSO, Blue, 2.29 kg), fa1389TX  ","83,990",https://amazon.in//HP-i7-12650H-15-6-inch-response-fa1389TX/dp/B0D81CT9JJ/ref=sr_1_274?dib=eyJ2IjoiMSJ9.kYzgicc3dw31Uo0vPuzaw-jRguzen8D2hE7h8eN0K5N1sFVGhmJRxF2kg7Ltjrh141RXG-SafOa9STyJwQYWdRwAzdzwU1-FRRfIBCwfaVb0CsxzPN26ZRmW48nvnW5A0jMAcSv9fD04dn8DccxzUNCvgO_ZCi_-TFJY18zlRyC79hu2y_tUcbkhivxobmO3cJMPK8orfNgPeLjoZnvdg-2UiVNh8XmQuxf3P3m0FVs.JEW5j6Ucx88kxO9tUF7q7NL19Ee4x-MesAAItEKFHsg&dib_tag=se&keywords=laptop&qid=1722233021&sr=8-274
11,"ASUS Vivobook 14, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Silver/1.40 kg), X1404ZA-NK322WS  ","37,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NDM1NTM4NTQ3MzM2OTQ4OjE3MjIyMzI5MTY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI1MDgzMTQ5MzczMjo6MTo6&url=%2FASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK322WS%2Fdp%2FB0CCPBPYSB%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.fc684e65-c18a-4031-9f8d-e6a2af0c8bfb%253Aamzn1.sym.fc684e65-c18a-4031-9f8d-e6a2af0c8bfb%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.rMXb1MLQ8bsJDrOt1fLV2_3opLW-Be97Xl91P2-MY0yiOLTKkNnHzb0JTqYZdSrJ0JKwRtcG_Tu-RhbGLxfbcw.YuQRVyT3B2y2evk91Jm8_4PG39LFR8bKiAFVOoynzA8%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CCPBPYSB%26pd_rd_r%3D7fe88e03-33c8-48a9-b247-abded772f911%26pd_rd_w%3DWLCtV%26pd_rd_wg%3D2A7tj%26pf_rd_p%3Dfc684e65-c18a-4031-9f8d-e6a2af0c8bfb%26pf_rd_r%3DSEGNBWKJXZ5ZCET155BM%26qid%3D1722232916%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-34-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
12,"HP 245 G9 AMD Processor Ryzen 3 3250U Dual Core - (8 GB/512 GB SSD/DOS) 841W7PA Thin and Light Laptop (14 inch, Silver, 1.47 kg)  ","26,700",https://amazon.in//HP-245-G9-Processor-Ryzen/dp/B0CRDSC9CC/ref=sr_1_183?dib=eyJ2IjoiMSJ9.n6lQotXI1RGFEyfp2MlROYxpcG1bx0bM770q3GPKMNOjhdfu_xGxkKIRflGGDmg1og3PlhD1g5xZo3PM4MZmR8NDh86q55G4TvEXPCPGLllm8Gutm_z4W50QaHSGhuliC9VU7oAaC-GYqfcm8vo85PwbpQUJyMquHkkM0MsdMxyir08to-wiLPfNDnMgtag-JVdgz3pCNeN4SMyrtLCZDZ-43KvX7z2bqn6qDLqNvnI.fo4SeDnh7CW3NU9luts7O1xS9Ko6tbeXzR3cr3syFUY&dib_tag=se&keywords=laptop&qid=1722232981&sr=8-183
13,"HP Laptop 15s, 12th Gen Intel Core i7-1255U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB, Thin & light (Win 11, MSO 2021, Silver, 1.69 kg), fq5190TU  ","65,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMjA3NDU0MDc0MzA4MDU6MTcyMjIzMjk3NDpzcF9hdGZfbmV4dDozMDAxNjY5NDI4MzQ4MzI6OjA6Og&url=%2FHP-i7-1255U-15-6-inch-Graphics-fq5190TU%2Fdp%2FB0C3D99LTP%2Fref%3Dsr_1_161_sspa%3Fdib%3DeyJ2IjoiMSJ9.jXQuvlZtegS9ouQO07117qLBnvlIpr-AfuIMdp2MfzGI519XE94OM1GROkhlM3vZA-k-mqoJArtDkEFwIAN0snmzj10fMB0TN-mUHKvp3c-KjQS3w-Baq0c-yRBJjKzBTrbyR_Lvc4or2lfmsiqVyqTUakCkK3VQWyQjTF2J9HPz31YR1zXIJYEyLFhDF70c75EL_r8-RGFCZyIuVO90-ystS9nFv_ORix8-epDGmaA.CjCv1U1UzbVK-M70zyS3eHilRIGLHc2U8sv5N7C8v-U%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722232974%26sr%3D8-161-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
14,"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 128 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue  ","19,990",https://amazon.in//Acer-Celeron-Windows-Laptop-Z8-284/dp/B0CHRN8C32/ref=sr_1_196?dib=eyJ2IjoiMSJ9.n6lQotXI1RGFEyfp2MlROYxpcG1bx0bM770q3GPKMNOjhdfu_xGxkKIRflGGDmg1og3PlhD1g5xZo3PM4MZmR8NDh86q55G4TvEXPCPGLllm8Gutm_z4W50QaHSGhuliC9VU7oAaC-GYqfcm8vo85PwbpQUJyMquHkkM0MsdMxyir08to-wiLPfNDnMgtag-JVdgz3pCNeN4SMyrtLCZDZ-43KvX7z2bqn6qDLqNvnI.fo4SeDnh7CW3NU9luts7O1xS9Ko6tbeXzR3cr3syFUY&dib_tag=se&keywords=laptop&qid=1722232981&sr=8-196
15,"(Refurbished) Lenovo ThinkPad 3rd Gen Intel Core i5 Business HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Integrated Graphics)  ","12,876",https://amazon.in//Refurbished-Lenovo-ThinkPad-Business-Integrated/dp/B0CK5TWQBS/ref=sr_1_132?dib=eyJ2IjoiMSJ9.D7FXc6Lns10-6jTrag1-hjgulKfZ7wc-jKdaix1AKVu8fORrvKlys_7k0wPjT7tFnxzeUv5Ti066GNnAKlvhJDTW72a5k6UsR7sKFU0DxTEZy1RGJ9ptD0GW9pYRdSo6vPRDPT6Rgs-eKLZxENCDxAALwDHCnGzdhXvOEqIyzUv7L4FtXBnRv39gYqEkdgYIIFmqUcP9EIlrLAa7vfxRSv6szSoCYDxtk2k44nchE8E.Gf9_Q9wlyLSJ5ahvcSgMs_1JR95Bjp4wBgAeA9gcs0M&dib_tag=se&keywords=laptop&qid=1722232953&sr=8-132
16,"Lenovo Legion 7 Intel Core i9-12900HX 16"" (40.64cm) QHD IPS 165Hz 500Nits Gaming Laptop (32GB/1TB SSD/Win 11/Office 2021/NVIDIA RTX 3080Ti 16GB/Alexa/3 Month Game Pass/Storm Grey/2.53Kg), 82TD009KIN  ","3,59,990",https://amazon.in//Lenovo-i9-12900HX-40-64cm-500Nits-82TD009KIN/dp/B0BR4BX2F8/ref=sr_1_257?dib=eyJ2IjoiMSJ9.ur7N8NHRCWy4FkCuZSoe4QjRmjiD0YZSgHxjCloxgXSfkf4DI9tE4ed74w06zh86iMIDMA2emW57lfyRsSlTe_3QqxyTJh66gYcQEb5Ah-mhyf8yTJfZvuWAosg21QMGUmRDLvQ749BDyPHLzmjF-lZ997up3eCOsoz8_AcRHhW1e5VjjlYrO22-HvhGN7adAEy70WBe85ZiQluMEIl-tbXVFro0MYzu7_OfwGOOZB4.u6iUG3uhbuSY5LAJRRLGaFC9WoVQPYGne0POqGA5xmU&dib_tag=se&keywords=laptop&qid=1722233015&sr=8-257
17,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","35,990",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CM6GVR56/ref=sr_1_110?dib=eyJ2IjoiMSJ9.ed3pnuabF7Jj-AHSG-arE3ASK8Yc1A02BdZb9b8Cnshk37SF-vSn8M11wcjbwe3GkaaP_CNI5lfLj5M-KSyIX-WLQVaAV5wA5L7IMzOl8ttHXwBReITU217HPie1RBYhSoGIUJdkLeItU1TwJ0ZU25Nk3y9keWohHxCZrbhlZYHga7GP8nCBJlQzs9QVcVyzdrkG4IJY55vv2iuxX9S8da5LEwNlxah87Q6nmo8jbLE.8TVE4sNyvEv-NkU5DapBNpmkYXRjdULpfU6A7IvzXTs&dib_tag=se&keywords=laptop&qid=1722232945&sr=8-110
18,"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ","17,499",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR49QPM9/ref=sr_1_275?dib=eyJ2IjoiMSJ9.YSgS0qxTq8KLZGT9zvKmeHXRrM3h4e9M7hzMCv4YvRZgCxg2dBKN2GpgZ4hKWwqx6LRx6wjAin01qaxOBFNUIYpTtBtMWBr2SPjIvH7Q2jH066ALp3PBBLoFCIOUFM1Zh_-9R76Su166fuaSjsYJZLLlEADUHjmmO1cr_qv3eyK5NJWu26PjWToZVnPzFByM7RXbHmEMXjkZGnEy8G5iS4LXnV3QEWd8pqMnHqryWLc.Umdn9mSsX5lSDNZTsAqYQVMDkkQ-gSDAZUQ5dIeMQJs&dib_tag=se&keywords=laptop&qid=1722233030&sr=8-275
19,(Refurbished) Lenovo Thinkpad Laptop L480 Full HD Screen Intel Core i5 :: 8th Generation :: 8350u Processor :: 32 GB Ram :: 512 GB SSD :: 14 Inches Notebook Computer  ,"25,498",https://amazon.in//Refurbished-Lenovo-Thinkpad-Laptop-Screen/dp/B0C1YQ8RV8/ref=sr_1_151?dib=eyJ2IjoiMSJ9.oOYa1TIVMiYFkMh3NDaiQ_f5XljbN43AQWGHWny9OUsdATnn_l_OPmc_oO4dAv_V3rBh9a1UmwcfMxzbPXmML-0nfIR2xJ05w_K0sjCtkh6dr8Q-jzq37d2TNoF3BbtxdlgKWBTCNyiDQF4d9XF-MmaShalaA9J2al_cOf5QBYgksEFnBHPBS_pkHX6XkwxwdzS1iPoYSMuoFfwgqyGxMIgzH8iFZStWnJkIIDYYtWY.N5JQWSwTxq1vhn1pTg9d3H858vMOjHWOPpi9utr_p4c&dib_tag=se&keywords=laptop&qid=1722232967&sr=8-151
